Group,sex_start,sex_end,sex,mat_start,mat_end,mat,pon_start_1,pon_end_1,pon_size_1,pon_start_2,pon_end_2,pon_size_2,pon_start_3,pon_end_3,pon_size_3,pon_start_4,pon_end_4,pon_size_4,pon_start_5,pon_end_5,pon_size_5,pon_start_6,pon_end_6,pon_size_6,mor_start,mor_end
0,0,1000,0,2,3,3,3,4,4,4,5,5,5,6,2,6,7,1,7,8,1,NA,NA,NA,8,9
0,0,1000,0,1,2,2,2,3,6,3,4,1,4,5,1,5,6,3,6,7,2,NA,NA,NA,11,12
0,0,1000,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
0,0,1000,0,2,3,4,3,4,2,4,5,2,5,6,2,6,7,1,NA,NA,NA,NA,NA,NA,9,10
0,0,1000,0,3,4,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6
0,0,1000,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
0,0,1000,0,1,2,2,2,3,5,3,4,3,4,5,3,5,6,1,6,7,1,NA,NA,NA,11,12
0,0,1000,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
0,0,1000,0,2,3,7,3,4,2,4,5,3,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8
0,0,1000,0,1,2,5,2,3,7,3,4,5,4,5,5,5,6,2,6,7,2,7,8,1,9,10
0,0,1000,0,1,2,1,2,3,5,3,4,6,4,5,3,5,6,1,NA,NA,NA,NA,NA,NA,8,9
0,0,1000,0,1,2,7,2,3,6,3,4,6,4,5,6,5,6,3,6,7,3,NA,NA,NA,7,8
0,0,1000,0,1,2,1,2,3,6,3,4,3,4,5,3,5,6,1,NA,NA,NA,NA,NA,NA,6,7
0,0,1000,0,2,3,4,3,4,7,4,5,2,5,6,4,6,7,3,7,8,2,8,9,1,9,10
0,0,1000,0,2,3,6,3,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7
0,0,1000,0,1,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
0,0,1000,0,2,3,3,3,4,2,4,5,3,5,6,1,6,7,3,NA,NA,NA,NA,NA,NA,8,9
0,0,1000,0,3,4,2,4,5,2,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13
