par,geno,spore,sex_start,sex_end,sex,mat_start,mat_end,mat,pon_start_1,pon_end_1,pon_size_1,pon_start_2,pon_end_2,pon_size_2,pon_start_3,pon_end_3,pon_size_3,pon_start_4,pon_end_4,pon_size_4,pon_start_5,pon_end_5,pon_size_5,pon_start_6,pon_end_6,pon_size_6,pon_start_7,pon_end_7,pon_size_7,pon_start_8,pon_end_8,pon_size_8,pon_start_9,pon_end_9,pon_size_9,pon_start_10,pon_end_10,pon_size_10,pon_start_11,pon_end_11,pon_size_11,pon_start_12,pon_end_12,pon_size_12,pon_start_13,pon_end_13,pon_size_13,pon_start_14,pon_end_14,pon_size_14,pon_start_15,pon_end_15,pon_size_15,pon_start_16,pon_end_16,pon_size_16,pon_start_17,pon_end_17,pon_size_17,pon_start_18,pon_end_18,pon_size_18,pon_start_19,pon_end_19,pon_size_19,pon_start_20,pon_end_20,pon_size_20,pon_start_21,pon_end_21,pon_size_21,pon_start_22,pon_end_22,pon_size_22,pon_start_23,pon_end_23,pon_size_23,pon_start_24,pon_end_24,pon_size_24,pon_start_25,pon_end_25,pon_size_25,pon_start_26,pon_end_26,pon_size_26,pon_start_27,pon_end_27,pon_size_27,pon_start_28,pon_end_28,pon_size_28,death_start,death_end
0,0,0,13,1000,0,12,13,6,20,21,3,23,24,9,26,27,3,30,31,2,33,34,8,37,38,5,41,42,5,45,46,7,48,49,3,53,54,4,58,59,3,62,63,4,67,68,3,72,73,2,77,78,2,82,83,2,87,88,3,92,93,3,97,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,103
0,0,0,13,1000,0,12,13,3,19,20,5,23,24,6,27,28,3,31,32,6,35,36,9,39,40,9,43,44,4,47,48,7,51,52,2,56,57,3,60,61,4,65,66,3,70,71,2,74,75,7,80,81,3,84,85,2,90,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,96
0,0,0,15,1000,0,14,15,1,18,19,5,22,23,10,25,26,5,29,30,5,33,34,6,37,38,4,41,42,8,45,46,6,49,50,3,54,55,2,57,58,4,62,63,5,66,67,3,72,73,2,76,77,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,79
0,0,0,14,1000,0,13,14,6,20,21,7,24,25,6,27,28,5,31,32,8,35,36,8,39,40,7,43,44,7,47,48,8,51,52,5,57,58,3,61,62,2,65,66,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67
0,0,0,19,1000,0,18,19,2,21,22,9,25,26,6,29,30,6,33,34,6,38,39,3,41,42,9,45,46,6,49,50,2,54,55,3,58,59,6,65,66,1,68,69,4,73,74,2,77,78,2,82,83,4,87,88,2,93,94,2,97,98,6,103,104,3,124,125,4,128,129,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,136
0,0,0,12,1000,0,11,12,1,18,19,6,23,24,6,26,27,4,30,31,4,34,35,5,38,39,8,42,43,6,46,47,7,51,52,5,56,57,4,60,61,4,65,66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,75
0,0,0,13,1000,0,12,13,2,16,17,3,19,20,5,23,24,7,28,29,3,31,32,5,40,41,12,45,46,2,48,49,6,53,54,5,59,60,1,63,64,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,67
0,0,0,21,1000,0,20,21,8,24,25,6,28,29,4,31,32,5,35,36,10,39,40,6,43,44,5,48,49,8,52,53,4,57,58,3,61,62,3,65,66,3,74,75,3,81,82,2,90,91,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,96
0,0,0,14,1000,0,13,14,7,29,30,5,33,34,3,36,37,6,40,41,5,44,45,4,48,49,6,53,54,4,57,58,3,62,63,3,66,67,3,77,78,3,87,88,1,92,93,4,97,98,2,101,102,4,106,107,2,111,112,3,116,117,2,121,122,3,126,127,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,134
0,0,0,13,1000,0,12,13,5,16,17,1,20,21,7,24,25,6,28,29,4,32,33,6,36,37,6,40,41,5,44,45,4,48,49,4,53,54,7,57,58,5,62,63,3,67,68,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,75
