---------------------------

datafile= data/raw_data/DataPierrick_GroupbyGroup/100%mort_Pierrick211genoparinteraction.txt
seed1= 12 seed2= 13 seed3= 14 seed4= 15
#parameters= 84
Likelihood_max= -32201.998872
int_E(tmort)f -0.38070939 0.00000000
eff_E(tmort)f_par1 -0.73767117 0.00000000
eff_E(tmort)f_par2 -0.78220021 0.00000000
eff_E(tmort)f_geno1 0.37911423 0.00000000
eff_E(tmort)f_geno2 -0.00533007 0.00000000
eff_E(tmort)f_geno3 0.44123169 0.00000000
eff_E(tmort)f_geno1:par1 -0.28260687 0.00000000
eff_E(tmort)f_geno2:par1 3.60676958 0.00000000
eff_E(tmort)f_geno3:par1 -0.97797996 0.00000000
eff_E(tmort)f_geno1:par2 2.00630956 0.00000000
eff_E(tmort)f_geno2:par2 -1.94692292 0.00000000
eff_E(tmort)f_geno3:par2 -0.30633860 0.00000000
int_morta -2.06920647 0.00000000
eff_morta_par1 0.14955763 0.00000000
eff_morta_par2 0.53541584 0.00000000
eff_morta_geno1 0.11092845 0.00000000
eff_morta_geno2 0.10623185 0.00000000
eff_morta_geno3 0.34878876 0.00000000
eff_morta_geno1:par1 0.50231279 0.00000000
eff_morta_geno2:par1 -2.50167557 0.00000000
eff_morta_geno3:par1 1.07032890 0.00000000
eff_morta_geno1:par2 1.55138978 0.00000000
eff_morta_geno2:par2 -0.01687869 0.00000000
eff_morta_geno3:par2 -0.40679528 0.00000000
int_E(tmat)f -1.90826293 0.00000000
eff_E(tmat)f_par1 0.37409539 0.00000000
eff_E(tmat)f_par2 0.38718143 0.00000000
eff_E(tmat)f_geno1 -0.26042835 0.00000000
eff_E(tmat)f_geno2 -0.05954213 0.00000000
eff_E(tmat)f_geno3 -0.34007234 0.00000000
eff_E(tmat)f_geno1:par1 -0.27075027 0.00000000
eff_E(tmat)f_geno2:par1 -5.58380853 0.00000000
eff_E(tmat)f_geno3:par1 -5.25204435 0.00000000
eff_E(tmat)f_geno1:par2 -0.38914839 0.00000000
eff_E(tmat)f_geno2:par2 -1.22083138 0.00000000
eff_E(tmat)f_geno3:par2 -0.44883712 0.00000000
int_mata -4.01413055 0.00000000
eff_mata_par1 1.12321712 0.00000000
eff_mata_par2 0.95127900 0.00000000
eff_mata_geno1 -0.49195120 0.00000000
eff_mata_geno2 -0.12995902 0.00000000
eff_mata_geno3 -0.13698924 0.00000000
eff_mata_geno1:par1 -0.46696893 0.00000000
eff_mata_geno2:par1 0.21230956 0.00000000
eff_mata_geno3:par1 -0.09379451 0.00000000
eff_mata_geno1:par2 -1.78682618 0.00000000
eff_mata_geno2:par2 -2.61418632 0.00000000
eff_mata_geno3:par2 -1.21833840 0.00000000
int_E(tpon) -3.51314102 0.00000000
eff_E(tpon)_par1 -1.20152058 0.00000000
eff_E(tpon)_par2 -1.05048105 0.00000000
eff_E(tpon)_geno1 -0.20542529 0.00000000
eff_E(tpon)_geno2 -0.26533068 0.00000000
eff_E(tpon)_geno3 -0.22456750 0.00000000
eff_E(tpon)_geno1:par1 -0.68983385 0.00000000
eff_E(tpon)_geno2:par1 -0.93208771 0.00000000
eff_E(tpon)_geno3:par1 -0.67537412 0.00000000
eff_E(tpon)_geno1:par2 -1.13089004 0.00000000
eff_E(tpon)_geno2:par2 2.50150437 0.00000000
eff_E(tpon)_geno3:par2 0.16515095 0.00000000
int_ponta -3.09136530 0.00000000
eff_ponta_par1 0.12321527 0.00000000
eff_ponta_par2 0.49411250 0.00000000
eff_ponta_geno1 -0.30924061 0.00000000
eff_ponta_geno2 -0.56637999 0.00000000
eff_ponta_geno3 -0.48962180 0.00000000
eff_ponta_geno1:par1 -0.22953714 0.00000000
eff_ponta_geno2:par1 2.81152749 0.00000000
eff_ponta_geno3:par1 -5.17063699 0.00000000
eff_ponta_geno1:par2 0.12105647 0.00000000
eff_ponta_geno2:par2 0.21835354 0.00000000
eff_ponta_geno3:par2 0.29753411 0.00000000
int_pontn -2.51263321 0.00000000
eff_pontn_par1 -0.24627692 0.00000000
eff_pontn_par2 -0.07011656 0.00000000
eff_pontn_geno1 -0.04699245 0.00000000
eff_pontn_geno2 0.00494689 0.00000000
eff_pontn_geno3 -0.07163051 0.00000000
eff_pontn_geno1:par1 0.21022355 0.00000000
eff_pontn_geno2:par1 -1.27525013 0.00000000
eff_pontn_geno3:par1 -0.93956361 0.00000000
eff_pontn_geno1:par2 -4.64887227 0.00000000
eff_pontn_geno2:par2 1.23182207 0.00000000
eff_pontn_geno3:par2 -0.31124617 0.00000000


Parameter_Range_Table
E(tmort)f 1.00000000 200.00000000
morta 0.00100000 30.00000000
RE(tmort)m 0.10000000 4.00000000
mortp 0.00010000 1.00000000
propmal 0.00001000 0.99999000
E(tmat)f 1.00000000 100.00000000
mata 0.00010000 12.00000000
RE(tmat)m 0.10000000 10.00000000
E(tpon) 0.10000000 200.00000000
ponta 0.00100000 12.00000000
pontn 1.00000000 50.00000000
to(ps)int 0.00001000 10.00000000
to(ps)am 0.00000010 10.00000000
to(ps)tp 0.00000010 10.00000000
sen(pu)t -20.00000000 20.00000000
sen(pu)t2 -20.00000000 20.00000000
sen(pn)t -10.00000000 10.00000000
sen(pn)t2 -10.00000000 10.00000000
to(pupn) -10.00000000 10.00000000
ratiomax 10
tinf_(right_censoring) 1000
tc_(juvenile_period_length) 20
