---------------------------

datafile= /Users/josephbarbier/Desktop/Lifelihood/input_data_lifelihood.txt
seed1= 1 seed2= 2 seed3= 3 seed4= 4
#parameters= 48
Likelihood_max= -249.155631
int_E(tmort)f -5.68471790 0.00000000
eff_E(tmort)f_geno1 -1.26960545 0.00000000
int_morta -4.15362137 0.00000000
eff_morta_geno1 0.61707021 0.00000000
eff_morta_type1 0.52488676 0.00000000
eff_morta_type2 0.52108365 0.00000000
eff_morta_type1:geno1 -0.33400234 0.00000000
eff_morta_type2:geno1 1.23059317 0.00000000
int_RE(tmort)m -0.78269307 0.00000000
eff_RE(tmort)m_geno1 -0.67261713 0.00000000
int_mortp -5.20828635 0.00000000
eff_mortp_geno1 0.17961170 0.00000000
int_E(tmat)f -2.96476600 0.00000000
eff_E(tmat)f_geno1 -0.67992247 0.00000000
eff_E(tmat)f_type1 0.25075784 0.00000000
eff_E(tmat)f_type2 -1.24385410 0.00000000
int_mata -5.87236179 0.00000000
eff_mata_geno1 -1.56849404 0.00000000
int_RE(tmat)m -0.99361126 0.00000000
eff_RE(tmat)m_geno1 0.45246592 0.00000000
eff_RE(tmat)m_type1 2.33331404 0.00000000
eff_RE(tmat)m_type2 -1.82042289 0.00000000
int_E(tpon) -1.69695504 0.00000000
eff_E(tpon)_geno1 -1.57100312 0.00000000
int_pontn -3.37868872 0.00000000
eff_pontn_geno1 -0.07836192 0.00000000
int_to(ps)int -0.95029563 0.00000000
eff_to(ps)int_geno1 0.20598929 0.00000000
eff_to(ps)int_type1 0.45335970 0.00000000
eff_to(ps)int_type2 0.81656086 0.00000000
eff_to(ps)int_type1:geno1 -0.10520391 0.00000000
eff_to(ps)int_type2:geno1 0.04162903 0.00000000
int_to(ps)am -1.89838349 0.00000000
eff_to(ps)am_geno1 -0.36328803 0.00000000
int_to(ps)tp -0.33267211 0.00000000
eff_to(ps)tp_geno1 0.92331178 0.00000000
int_sen(pu)t 0.66172990 0.00000000
eff_sen(pu)t_geno1 -1.48913490 0.00000000
eff_sen(pu)t_type1 -1.31758033 0.00000000
eff_sen(pu)t_type2 -0.38189539 0.00000000
eff_sen(pu)t_type1:geno1 0.14501670 0.00000000
eff_sen(pu)t_type2:geno1 1.28961003 0.00000000
int_sen(pu)t2 0.30847549 0.00000000
eff_sen(pu)t2_geno1 0.72822904 0.00000000
int_sen(pn)t 0.20601439 0.00000000
eff_sen(pn)t_geno1 -0.32740060 0.00000000
int_sen(pn)t2 0.19023366 0.00000000
eff_sen(pn)t2_geno1 0.21941308 0.00000000


Parameter_Range_Table
E(tmort)f 1.00000000 201.00000000
morta 0.00100000 30.00000000
RE(tmort)m 0.10000000 4.00000000
mortp 0.00010000 1.00000000
propmal 0.00001000 0.99999000
E(tmat)f 1.00000000 100.00000000
mata 0.00010000 12.00000000
RE(tmat)m 0.10000000 10.00000000
E(tpon) 0.10000000 200.00000000
ponta 0.00100000 12.00000000
pontn 1.00000000 50.00000000
to(ps)int 0.00001000 10.00000000
to(ps)am 0.00000010 10.00000000
to(ps)tp 0.00000010 10.00000000
sen(pu)t -20.00000000 20.00000000
sen(pu)t2 -20.00000000 20.00000000
sen(pn)t -10.00000000 10.00000000
sen(pn)t2 -10.00000000 10.00000000
to(pupn) -10.00000000 10.00000000
ratiomax 10
tinf_(right_censoring) 1000
tc_(juvenile_period_length) 20
