---------------------------

datafile= /Users/josephbarbier/Desktop/Lifelihood/lifelihood_11_22_33_44/temp_file_data_lifelihood.txt
seed1= 11 seed2= 22 seed3= 33 seed4= 44
#parameters= 27
Likelihood_max= -12150.446267
int_expt_death -0.45298040 0.00000000
eff_expt_death_geno1 -0.77426660 0.00000000
eff_expt_death_type1 -0.08240633 0.00000000
eff_expt_death_type2 -2.41873911 0.00000000
int_survival_shape -3.00662720 0.00000000
eff_survival_shape_geno1 -1.71846791 0.00000000
eff_survival_shape_type1 -2.17386020 0.00000000
eff_survival_shape_type2 -0.26834178 0.00000000
eff_survival_shape_type1:geno1 0.74506569 0.00000000
eff_survival_shape_type2:geno1 -1.63191945 0.00000000
int_ratio_expt_death 0.60128110 0.00000000
eff_ratio_expt_death_geno1 -1.33195106 0.00000000
int_prob_death -0.41015061 0.00000000
eff_prob_death_geno1 0.31411117 0.00000000
int_sex_ratio -19.95346556 0.00000000
eff_sex_ratio_type1 -15.93131882 0.00000000
eff_sex_ratio_type2 -14.10980247 0.00000000
int_expt_maturity -5.26640444 0.00000000
eff_expt_maturity_geno1 -0.99764851 0.00000000
eff_expt_maturity_type1 -1.45863622 0.00000000
eff_expt_maturity_type2 -1.29359556 0.00000000
int_maturity_shape -17.42225368 0.00000000
eff_maturity_shape_geno1 -6.53109813 0.00000000
int_ratio_expt_maturity 0.32120185 0.00000000
eff_ratio_expt_maturity_geno1 0.99602468 0.00000000
eff_ratio_expt_maturity_type1 0.99015344 0.00000000
eff_ratio_expt_maturity_type2 -1.03213125 0.00000000


Parameter_Range_Table
expt_death 0.00100000 24.00000000
survival_shape 0.05000000 1000.00000000
ratio_expt_death 0.01000000 100.00000000
prob_death 0.00001000 0.99999000
sex_ratio 0.00001000 0.99999000
expt_maturity 0.00100000 2000.00000000
maturity_shape 0.05000000 500.00000000
ratio_expt_maturity 0.01000000 100.00000000
expt_reproduction 0.00100000 10.00000000
reproduction_shape 0.00250000 10.00000000
pontn 1.00000000 50.00000000
increase_death_hazard 0.00001000 10.00000000
tof_reduction_date 0.00000010 10.00000000
increase_tof_n_offspring 0.00000010 10.00000000
lin_decrease_hazard -20.00000000 20.00000000
quad_senescence -20.00000000 20.00000000
quad_decrease_hazard -10.00000000 10.00000000
quad_change_n_offspring -10.00000000 10.00000000
tof_n_offspring -10.00000000 10.00000000
ratiomax 10
tinf_(right_censoring) 1000
tc_(juvenile_period_length) 20
