---------------------------

datafile= /Users/josephbarbier/Desktop/Lifelihood/temp_file_data_lifelihood.txt
seed1= 11 seed2= 22 seed3= 33 seed4= 44
#parameters= 50
Likelihood_max= -402.952391
int_expt_death -3.94615154 0.00000000
eff_expt_death_geno1 0.30719114 0.00000000
eff_expt_death_type1 -0.11845706 0.00000000
eff_expt_death_type2 -0.06240714 0.00000000
int_survival_shape -4.07574203 0.00000000
eff_survival_shape_geno1 -0.34656106 0.00000000
eff_survival_shape_type1 -3.89298862 0.00000000
eff_survival_shape_type2 1.86264575 0.00000000
eff_survival_shape_type1:geno1 -0.75633802 0.00000000
eff_survival_shape_type2:geno1 -1.06236465 0.00000000
int_ratio_expt_death 0.92469079 0.00000000
eff_ratio_expt_death_geno1 -1.37409365 0.00000000
int_prob_death -1.01621851 0.00000000
eff_prob_death_geno1 -0.77008270 0.00000000
int_expt_maturity -2.90769001 0.00000000
eff_expt_maturity_geno1 -0.76437698 0.00000000
eff_expt_maturity_type1 -0.32695989 0.00000000
eff_expt_maturity_type2 -1.30734297 0.00000000
int_maturity_shape -5.89406327 0.00000000
eff_maturity_shape_geno1 -1.43011457 0.00000000
int_ratio_expt_maturity 1.06559773 0.00000000
eff_ratio_expt_maturity_geno1 1.10757825 0.00000000
eff_ratio_expt_maturity_type1 -0.45870473 0.00000000
eff_ratio_expt_maturity_type2 0.06064304 0.00000000
int_expt_reproduction -1.88995565 0.00000000
eff_expt_reproduction_geno1 -0.23643199 0.00000000
int_pontn -3.90346693 0.00000000
eff_pontn_geno1 -0.64114096 0.00000000
int_increase_death_hazard -0.16959088 0.00000000
eff_increase_death_hazard_geno1 1.92886921 0.00000000
eff_increase_death_hazard_type1 -0.05382054 0.00000000
eff_increase_death_hazard_type2 0.98430142 0.00000000
eff_increase_death_hazard_type1:geno1 -0.61704587 0.00000000
eff_increase_death_hazard_type2:geno1 0.19507051 0.00000000
int_tof_reduction_date -0.36035317 0.00000000
eff_tof_reduction_date_geno1 -1.22937194 0.00000000
int_increase_tof_n_offspring 2.03930695 0.00000000
eff_increase_tof_n_offspring_geno1 0.95762689 0.00000000
int_lin_decrease_hazard 1.37977219 0.00000000
eff_lin_decrease_hazard_geno1 -1.00637823 0.00000000
eff_lin_decrease_hazard_type1 -1.53513265 0.00000000
eff_lin_decrease_hazard_type2 1.40176324 0.00000000
eff_lin_decrease_hazard_type1:geno1 -1.63357036 0.00000000
eff_lin_decrease_hazard_type2:geno1 -0.14947583 0.00000000
int_quad_senescence 0.35916916 0.00000000
eff_quad_senescence_geno1 -0.36511071 0.00000000
int_quad_decrease_hazard 0.01342698 0.00000000
eff_quad_decrease_hazard_geno1 0.44141845 0.00000000
int_quad_change_n_offspring -0.22503664 0.00000000
eff_quad_change_n_offspring_geno1 0.22854630 0.00000000


Parameter_Range_Table
expt_death 1.00000000 201.00000000
survival_shape 0.00100000 30.00000000
ratio_expt_death 0.10000000 4.00000000
prob_death 0.00010000 1.00000000
sex_ratio 0.00001000 0.99999000
expt_maturity 1.00000000 100.00000000
maturity_shape 0.00010000 12.00000000
ratio_expt_maturity 0.10000000 10.00000000
expt_reproduction 0.10000000 200.00000000
reproduction_shape 0.00100000 12.00000000
pontn 1.00000000 50.00000000
increase_death_hazard 0.00001000 10.00000000
tof_reduction_date 0.00000010 10.00000000
increase_tof_n_offspring 0.00000010 10.00000000
lin_decrease_hazard -20.00000000 20.00000000
quad_senescence -20.00000000 20.00000000
quad_decrease_hazard -10.00000000 10.00000000
quad_change_n_offspring -10.00000000 10.00000000
tof_n_offspring -10.00000000 10.00000000
ratiomax 10
tinf_(right_censoring) 1000
tc_(juvenile_period_length) 20
